student_count	total_code_smells	total_bugs	total_vulnerabilities	issues
1006	132	0	0	132
926	132	0	0	132
2591	125	0	0	125
12809	48	0	0	48
282	48	0	0	48
5673	37	10	0	47
10484	33	0	1	34
256	33	0	0	33
2353	33	0	0	33
4840	32	0	0	32
25103	26	0	0	26
4071	25	1	0	26
5072	25	0	0	25
39788	23	0	0	23
6101	21	0	0	21
2267	18	0	0	18
7883	18	1	0	19
53489	14	0	0	14
822	13	3	0	16
3246	11	0	0	11
11440	10	3	0	13
3057	9	1	0	10
147413	9	0	0	9
5764	9	0	0	9
5408	9	0	0	9
69313	9	0	0	9
101883	9	0	0	9
10152	9	0	0	9
6104	9	0	0	9
40522	8	1	1	10
25131	8	1	1	10
765	7	0	1	8
1221	7	0	0	7
31026	7	3	1	11
19092	7	3	1	11
8872	7	3	1	11
630	6	0	0	6
11612	6	0	1	7
6200	6	0	0	6
2183	6	1	1	8
20649	5	1	0	6
42367	5	0	0	5
25418	5	0	0	5
7473	5	1	1	7
5699	5	0	1	6
9653	4	0	0	4
6172	4	0	0	4
9046	4	0	0	4
17989	4	3	1	8
1042	4	0	0	4
4621	4	0	1	5
3472	4	2	0	6
1405	4	0	0	4
3445	4	2	0	6
1299	4	0	0	4
4576	4	1	0	5
2155	3	0	0	3
2242	3	0	0	3
2391	3	0	0	3
7270	3	1	0	4
1170	3	0	1	4
8626	3	1	1	5
3188	3	0	0	3
3492	3	0	0	3
2546	2	0	0	2
2252	2	0	0	2
73363	2	1	1	4
4822	2	0	0	2
21274	2	3	1	6
4106	2	2	0	4
25117	2	0	0	2
526	2	3	0	5
1923	2	2	0	4
3575	1	0	0	1
33394	1	0	0	1
5105	1	1	0	2
3068	1	0	0	1
346	1	1	0	2
499	1	1	0	2
2588	1	0	0	1
22982	1	0	0	1
19205	1	0	0	1
3354	1	0	0	1
400	1	0	0	1
38516	1	0	0	1
3269	1	0	0	1
1691	1	0	0	1
5350	1	0	0	1
36180	1	0	0	1
317	1	0	0	1
2211	1	0	0	1
2338	1	0	0	1
1649	1	0	0	1
4017	1	0	0	1
9004	1	23	0	24
1207	1	0	0	1
2342	1	0	0	1
1478	1	0	0	1
19903	1	0	0	1
6738	1	0	0	1
6268	1	0	0	1
327	1	0	0	1
165	1	0	0	1
3592	1	0	0	1
1635	1	0	0	1
642	1	0	0	1
2943	1	0	0	1
5798	1	0	0	1
8882	1	0	0	1
5320	1	0	0	1
964	1	0	0	1
2136	1	0	0	1
6859	1	0	0	1
11773	1	0	0	1
806	1	0	0	1
10075	0	0	0	0
22338	0	2	0	2
3408	0	0	0	0
80425	0	2	0	2
2251	0	0	0	0
7558	0	1	0	1
4346	0	1	0	1
4981	0	1	0	1
1928	0	0	0	0
2952	0	0	0	0
13858	0	1	0	1
2627	0	0	0	0
1626	0	0	0	0
1425	0	1	0	1
2346	0	1	0	1
2249	0	1	0	1
20332	0	1	0	1
7989	0	1	0	1
4292	0	1	0	1
1974	0	0	0	0
3900	0	0	0	0
33383	0	0	0	0
14751	0	4	0	4
2415	0	2	0	2
555	0	0	0	0
1426	0	0	0	0
8848	0	3	0	3
443	0	0	0	0
6440	0	0	0	0
11026	0	1	0	1
434	0	0	0	0
326	0	0	0	0
2515	0	0	0	0
6192	0	0	0	0
5658	0	0	0	0
6282	0	0	0	0
4157	0	2	1	3
9336	0	1	0	1
811	0	1	0	1
599	0	1	0	1
443	0	0	0	0
276	0	0	0	0
17784	0	1	0	1
3681	0	1	0	1
1981	0	0	0	0
1260	0	0	0	0
4523	0	0	0	0
